soil_moisture,Moisture_Trend,Precipitation,weather_humidity,MaxT,MinT,Water_Sensitivity,Irrigation_Decision,Alert_Status,ID
50.68,1.68,6.76,80.8,20.0,30.5,0,1,0,126
60.45,1.35,6.8,55.9,23.2,22.3,0,0,1,127
61.52,-3.34,9.46,37.0,43.3,31.2,1,1,1,128
40.17,3.82,2.96,23.6,41.7,25.0,1,1,1,129
52.77,-0.73,0.01,35.6,25.8,27.0,0,0,1,130
50.44,-3.38,2.72,43.8,39.5,34.8,2,0,0,131
45.55,-4.87,2.18,78.1,35.2,15.8,0,0,1,132
43.0,0.6,6.62,58.6,44.3,25.6,2,0,0,133
48.44,0.27,6.34,17.0,29.3,21.5,1,1,0,134
63.57,2.19,5.93,11.6,37.0,11.0,1,1,0,135
48.08,3.9,0.16,19.2,21.6,10.4,1,0,1,136
52.97,-4.21,7.29,46.9,29.9,13.0,2,0,0,137
57.58,2.31,3.24,94.0,44.1,26.2,0,0,0,138
49.09,-3.13,6.65,67.4,33.5,24.2,2,0,1,139
64.29,3.58,5.57,82.2,27.2,23.8,0,1,0,140
64.06,3.19,3.43,52.0,23.0,10.8,0,1,0,141
46.29,0.41,1.35,42.5,37.6,21.7,0,1,0,142
52.43,2.1,0.94,19.8,36.1,33.1,1,1,1,143
47.52,-1.86,8.32,88.8,29.3,19.9,0,1,0,144
47.12,-0.29,9.18,80.5,43.8,25.6,1,1,0,145
40.92,3.22,6.5,25.1,20.6,29.5,0,1,0,146
55.24,-0.41,1.03,56.1,27.6,29.6,0,0,1,147
52.57,-1.42,4.02,53.9,43.0,23.0,1,1,1,148
41.29,-0.06,7.29,66.3,28.0,31.4,1,0,1,149
46.97,3.28,7.8,95.2,26.3,19.8,2,0,0,150
62.71,-1.65,1.18,62.2,33.4,32.2,0,0,0,151
45.99,-3.26,0.0,58.6,40.6,16.0,1,1,0,152
43.62,2.12,7.12,14.5,22.6,17.0,2,1,0,153
52.24,3.26,3.57,15.7,43.6,11.3,2,1,0,154
64.64,-3.99,2.54,26.9,39.9,29.9,1,1,1,155
46.05,-2.6,0.13,12.9,24.5,20.4,0,0,0,156
56.8,-3.58,5.4,76.9,37.8,15.7,2,1,0,157
59.04,-1.52,8.51,75.1,29.6,15.8,0,0,1,158
45.94,-0.5,9.58,22.2,30.1,32.5,0,1,1,159
58.21,2.49,5.66,85.2,39.6,30.8,2,1,0,160
49.19,1.51,5.14,23.9,44.1,23.8,1,0,1,161
55.81,1.21,0.85,37.1,23.2,25.4,0,0,1,162
55.84,-1.48,5.49,32.4,30.5,21.9,1,0,1,163
53.39,3.41,3.8,43.5,32.0,19.8,2,1,0,164
42.26,-0.29,6.07,32.9,29.4,32.9,0,1,1,165
60.88,4.79,3.89,54.0,29.1,13.1,1,0,0,166
48.02,1.34,2.4,46.7,21.3,20.5,1,1,1,167
44.66,-3.74,0.95,98.8,37.1,18.6,0,0,0,168
41.02,1.76,3.15,15.0,30.9,22.5,1,1,0,169
54.77,-1.75,0.97,22.8,24.9,21.4,1,0,0,170
56.94,1.86,1.77,14.8,40.4,23.0,2,0,1,171
40.41,-4.3,9.87,66.3,40.1,13.5,2,1,1,172
52.8,-3.25,4.44,14.9,32.2,22.8,1,0,1,173
45.66,3.56,5.32,85.3,27.5,16.1,1,1,0,174
56.13,-2.73,8.74,56.1,36.0,14.6,0,1,1,175
44.36,3.37,9.96,57.4,27.2,11.6,2,0,1,176
57.27,-2.21,5.83,60.5,25.9,29.1,0,0,0,177
49.67,1.43,8.12,25.4,38.3,20.7,1,1,1,178
63.42,1.94,3.27,27.8,21.0,25.7,0,1,0,179
43.44,0.13,3.06,38.7,22.4,28.2,1,0,1,180
48.53,-1.95,4.03,63.4,20.2,27.0,2,0,0,181
42.84,-2.87,6.73,28.9,23.8,21.8,2,0,0,182
63.12,-4.67,6.82,20.5,21.7,19.7,1,1,1,183
61.93,-1.96,3.15,97.3,44.9,19.4,2,1,0,184
46.45,1.53,1.33,12.0,27.2,26.0,1,1,1,185
56.5,4.38,6.32,82.2,23.7,22.4,0,0,1,186
60.43,3.71,1.28,80.9,26.0,31.2,1,0,1,187
53.88,2.66,5.78,36.7,43.4,31.9,0,1,1,188
53.24,2.88,6.93,22.2,33.0,14.3,1,1,0,189
46.05,1.65,7.01,23.1,29.1,13.4,2,0,0,190
42.33,-2.4,7.53,72.8,41.8,25.8,1,1,0,191
62.43,4.07,8.73,67.9,29.9,17.5,1,0,1,192
62.51,1.71,5.0,80.4,28.4,10.5,1,0,1,193
55.83,0.6,7.3,94.4,25.2,32.2,2,0,0,194
48.48,-3.89,6.19,72.3,29.4,15.7,1,1,0,195
48.73,-0.53,1.87,24.0,27.9,33.2,2,1,1,196
58.15,-0.4,0.26,31.9,36.9,27.9,1,0,1,197
62.43,3.65,2.85,85.8,27.2,29.1,0,0,1,198
62.18,0.47,4.43,28.8,34.4,15.0,1,1,0,199
59.5,-1.2,6.17,16.5,21.6,15.9,0,0,1,200
56.05,4.77,8.5,73.3,24.8,23.0,2,1,0,201
42.1,-3.89,1.96,46.2,30.2,14.3,2,1,1,202
44.04,-0.77,1.26,92.8,43.4,17.6,1,1,0,203
62.46,-4.58,9.63,68.5,29.4,18.0,2,0,1,204
55.16,2.4,1.08,18.1,36.6,14.0,1,0,0,205
40.23,4.18,4.78,95.3,26.4,15.1,2,0,0,206
42.54,-2.2,5.86,33.3,23.2,29.7,0,0,0,207
56.59,3.58,5.41,40.3,21.5,14.2,2,1,1,208
40.13,-2.08,0.86,46.2,27.6,10.7,0,0,0,209
44.02,4.11,0.57,14.6,23.9,25.7,1,1,0,210
53.72,2.54,1.05,54.7,24.4,34.4,1,0,1,211
57.3,3.05,5.86,21.1,39.0,18.3,1,0,0,212
56.3,-4.82,5.44,46.1,20.4,13.0,0,0,0,213
45.61,4.63,2.34,41.6,33.9,24.3,1,0,1,214
57.8,2.27,6.38,79.6,29.5,32.7,1,0,0,215
45.93,-1.95,8.2,82.3,32.7,29.6,0,1,1,216
48.13,3.29,0.42,23.8,34.1,25.6,2,0,0,217
58.66,-2.18,4.98,43.0,27.8,17.9,1,0,1,218
56.24,3.73,6.89,43.6,27.4,23.5,2,0,0,219
61.23,-3.87,2.52,23.6,38.3,12.3,2,0,0,220
56.44,2.04,3.08,81.9,41.8,27.0,1,0,0,221
54.21,0.41,6.14,73.7,24.8,28.1,1,1,1,222
42.34,-4.03,8.98,27.1,22.4,34.1,0,0,0,223
49.19,-2.58,8.1,43.0,42.4,16.5,0,1,0,224
46.63,-4.88,5.83,19.5,28.7,10.5,1,0,1,225
46.1,-0.31,7.3,66.5,33.8,23.6,2,1,1,226
64.33,-1.99,3.65,20.9,29.0,27.7,0,0,1,227
49.83,0.98,6.41,98.7,23.1,29.8,0,0,0,228
62.3,-2.03,4.66,80.3,34.7,14.8,1,1,0,229
55.78,-2.0,1.9,45.1,33.1,16.5,1,0,0,230
59.87,2.43,7.02,62.1,25.1,22.8,1,1,1,231
52.57,-4.52,5.56,92.0,31.3,18.3,1,0,1,232
54.42,4.03,3.59,59.9,39.9,31.5,0,1,0,233
52.31,3.52,9.11,25.7,34.8,21.8,0,1,0,234
44.88,1.68,0.21,44.1,22.4,30.0,0,1,1,235
58.06,0.93,3.16,85.9,33.7,24.5,2,0,1,236
47.02,3.92,0.57,68.0,37.6,29.3,0,1,1,237
40.61,-3.15,7.67,68.6,39.8,18.3,0,0,0,238
56.14,-4.21,7.02,88.0,35.7,30.8,1,1,1,239
44.43,-2.6,3.31,90.5,23.8,16.9,0,1,1,240
63.51,2.95,6.76,92.8,37.8,23.7,0,1,1,241
63.85,-4.65,3.96,18.5,36.9,15.4,0,0,1,242
62.87,0.83,7.56,59.0,20.6,21.9,1,0,0,243
49.25,4.95,4.54,76.6,30.3,18.0,0,0,1,244
40.39,3.56,4.12,78.1,28.3,16.7,0,1,0,245
63.21,0.21,9.35,64.6,36.7,34.2,2,0,0,246
50.7,-4.36,2.51,25.0,25.4,14.0,2,0,1,247
64.17,3.31,1.2,81.8,34.8,29.7,2,1,1,248
64.09,0.99,5.85,74.8,42.8,34.6,2,1,0,249
61.33,-3.85,9.69,17.8,39.9,10.5,1,0,1,250
47.36,-4.06,3.78,51.7,43.0,27.5,2,0,0,251
49.63,4.1,0.62,25.7,44.5,16.3,0,0,1,252
61.28,1.69,3.39,40.4,20.3,11.0,2,1,0,253
47.92,3.29,5.06,11.6,35.6,20.1,1,1,0,254
44.24,3.79,1.62,46.0,30.3,33.4,2,1,0,255
53.92,0.72,6.58,59.5,41.5,10.3,2,1,1,256
63.4,0.17,9.98,65.8,26.3,24.7,1,1,0,257
57.4,-0.7,4.52,69.7,44.5,22.5,1,0,0,258
54.25,-1.83,3.55,85.3,35.3,31.8,1,0,1,259
42.43,-0.65,4.01,29.4,39.8,12.1,1,0,1,260
55.38,2.74,1.15,20.8,22.1,27.0,1,1,0,261
64.75,1.02,8.83,86.6,24.6,27.0,1,1,0,262
43.5,3.93,4.15,24.1,39.0,26.7,0,0,1,263
52.96,-0.57,3.87,97.7,20.5,33.6,2,0,0,264
61.93,1.07,6.6,85.8,40.4,30.6,2,0,1,265
58.52,1.31,4.42,55.1,20.3,11.0,1,1,1,266
57.43,0.92,6.48,98.3,36.4,21.8,1,1,1,267
57.56,2.03,0.61,18.8,29.1,19.9,0,1,0,268
48.99,-2.63,8.14,37.3,35.3,17.8,0,1,1,269
47.34,0.12,9.41,67.4,37.4,21.3,1,1,0,270
60.23,-3.96,6.49,41.5,28.6,19.6,0,0,0,271
60.25,-1.15,9.55,93.6,22.7,20.8,0,0,1,272
61.68,-0.12,1.51,15.9,21.7,34.5,1,1,1,273
62.83,1.52,4.77,59.4,34.7,12.2,1,1,1,274
52.78,4.51,6.02,63.2,33.0,33.1,1,0,1,275
52.54,1.01,5.82,68.7,38.6,22.0,1,1,0,276
59.96,2.44,4.01,33.0,32.7,25.6,2,1,0,277
56.25,0.06,3.38,42.8,30.6,30.8,2,0,1,278
57.55,1.34,1.27,85.9,30.0,19.0,1,1,0,279
59.89,-4.29,3.92,27.5,20.7,20.8,0,1,1,280
62.25,-2.46,1.63,84.4,28.4,20.2,1,0,0,281
48.45,-1.38,7.34,60.6,44.4,19.4,2,1,0,282
49.39,-0.28,2.09,78.6,41.8,33.1,0,1,0,283
42.35,-4.54,0.59,74.2,28.2,30.7,2,0,1,284
54.46,-3.6,5.52,28.7,34.7,12.7,1,0,0,285
40.9,-2.23,5.95,61.2,41.2,12.7,2,1,0,286
51.64,4.72,8.72,88.1,31.0,20.7,2,0,0,287
53.57,-1.69,5.77,48.9,20.4,12.5,2,0,0,288
47.16,-0.18,3.45,97.0,21.9,25.5,0,1,1,289
54.77,-3.04,8.03,50.7,32.8,13.6,2,0,0,290
40.76,1.11,5.4,22.9,44.2,23.1,0,1,1,291
40.93,-2.19,0.79,45.0,37.3,10.2,1,0,1,292
60.57,-2.93,5.66,95.7,21.8,17.9,1,0,0,293
49.0,0.17,9.08,38.8,24.7,26.9,2,1,0,294
43.18,-4.94,3.96,88.1,39.3,22.1,0,1,1,295
53.06,-4.92,2.96,89.3,41.0,34.5,1,1,1,296
59.25,-2.81,1.43,41.5,35.4,31.9,0,0,1,297
45.4,-4.63,1.51,17.5,36.1,19.0,0,1,0,298
55.57,-3.92,4.33,75.2,20.7,11.1,2,1,0,299
42.13,-1.61,5.96,38.0,40.7,31.1,2,0,1,300
41.29,3.03,0.81,80.5,39.7,32.8,0,0,1,301
53.28,0.72,9.4,49.8,26.5,30.5,0,0,1,302
53.52,0.13,7.55,53.7,37.7,13.2,2,1,0,303
55.94,-2.07,5.87,80.0,25.4,34.9,0,0,0,304
58.15,4.32,8.28,44.4,21.0,16.5,2,0,1,305
64.4,-1.03,0.8,49.9,25.0,28.1,0,1,0,306
52.91,-4.13,4.77,43.9,24.5,32.7,2,0,1,307
48.07,1.17,6.3,43.1,28.4,15.9,0,0,0,308
59.88,-3.86,8.29,57.3,30.5,32.7,2,1,1,309
46.77,-1.55,7.83,82.8,32.7,17.7,0,0,0,310
50.97,0.07,2.77,42.6,31.9,34.4,1,1,0,311
41.96,3.74,9.41,57.2,26.8,17.0,1,1,0,312
40.63,-0.06,1.24,70.4,20.7,33.8,0,1,0,313
64.07,2.02,8.75,34.2,35.1,11.3,1,1,0,314
60.9,4.93,9.71,35.0,29.9,27.7,0,1,0,315
57.4,-3.69,1.77,94.0,27.5,23.3,0,0,0,316
50.22,-2.25,7.22,75.1,41.7,21.9,1,1,1,317
44.33,-1.05,0.4,61.9,38.7,15.6,0,1,1,318
43.91,-0.78,4.05,68.3,41.4,27.6,2,1,1,319
46.26,-0.89,5.16,12.6,32.4,14.8,0,1,0,320
53.73,4.08,5.81,65.6,23.3,23.8,0,0,0,321
57.86,2.14,9.36,55.9,37.4,16.3,1,0,0,322
56.5,1.08,6.72,59.1,25.2,33.9,2,0,1,323
47.0,-1.91,4.81,42.3,31.0,10.7,0,1,1,324
63.87,3.24,8.1,17.3,21.6,15.0,0,0,1,325
58.45,4.55,9.51,27.4,40.6,16.1,0,0,1,326
53.86,3.21,0.22,95.6,23.1,20.4,0,1,1,327
55.29,-4.98,9.83,46.8,42.6,15.8,0,1,1,328
50.49,1.36,0.86,52.0,41.6,22.3,0,0,0,329
46.19,-4.49,8.14,14.7,31.6,31.8,2,0,1,330
48.9,-2.42,2.8,13.4,38.6,27.8,2,0,0,331
58.95,-4.4,1.32,74.5,35.5,24.5,0,0,1,332
40.36,1.04,4.4,58.4,40.1,12.2,0,1,1,333
42.9,1.87,6.44,55.8,30.8,27.3,1,1,0,334
41.15,-3.86,3.81,31.9,39.6,14.2,2,1,0,335
41.02,-1.16,0.55,77.0,31.6,29.7,2,1,0,336
61.39,-0.44,5.99,25.1,43.5,16.3,0,1,1,337
57.59,-1.31,9.02,27.1,32.2,20.4,2,0,1,338
51.85,-3.79,3.83,51.5,31.6,18.8,2,1,0,339
42.45,-0.81,2.16,35.8,39.6,31.5,1,1,1,340
52.29,2.51,4.43,32.3,40.5,13.2,1,0,0,341
51.84,-4.29,0.48,68.1,33.9,24.1,2,1,1,342
44.33,-4.2,8.2,68.6,24.5,13.6,2,0,1,343
50.85,-1.45,8.26,84.2,31.7,27.6,2,1,1,344
49.96,4.42,5.88,47.6,44.2,32.6,0,1,0,345
55.4,1.69,3.53,16.6,38.8,20.9,1,1,1,346
55.88,1.79,8.0,34.6,40.3,22.2,0,0,0,347
41.13,-1.38,5.55,98.2,20.8,33.2,1,1,0,348
49.37,0.94,8.26,63.7,31.7,23.0,1,0,0,349
55.65,-4.9,6.31,73.9,36.2,22.2,1,1,0,350
52.58,1.36,7.84,10.7,40.8,24.5,2,1,0,351
61.41,4.13,5.99,56.6,21.2,27.2,1,0,0,352
56.47,1.13,4.14,13.4,41.3,12.7,0,0,0,353
44.07,3.74,9.58,61.2,33.7,30.5,1,1,0,354
41.76,2.24,5.41,92.9,24.9,20.9,0,0,0,355
56.06,-3.79,6.05,97.2,27.9,11.8,1,1,1,356
40.66,4.02,2.2,58.6,27.0,29.7,1,1,0,357
54.64,-4.34,6.26,51.2,33.3,19.4,2,0,1,358
63.51,0.34,5.72,95.1,21.3,12.5,0,0,0,359
54.39,-3.58,1.85,70.6,24.0,25.8,1,0,1,360
49.7,-4.88,0.6,15.8,40.3,32.0,1,1,1,361
56.08,-0.78,6.04,51.9,23.3,32.2,0,0,1,362
51.46,-2.05,7.64,31.6,25.8,33.9,1,1,1,363
53.64,-0.14,5.23,52.3,31.3,31.7,2,0,1,364
63.54,0.77,2.27,51.0,32.9,10.1,0,0,1,365
49.65,-4.56,6.67,62.4,39.1,19.5,2,0,0,366
64.03,-3.77,0.8,42.1,31.2,30.5,0,0,0,367
62.63,0.59,4.42,24.8,39.7,19.2,0,0,0,368
44.89,-1.57,1.63,55.3,35.5,25.0,0,1,0,369
41.73,2.29,1.84,84.7,22.8,25.2,1,0,0,370
42.52,1.52,2.02,69.8,23.9,19.1,0,0,0,371
40.46,3.46,3.87,40.5,30.9,32.6,0,1,1,372
42.36,1.92,0.51,94.2,29.9,22.6,0,1,0,373
57.08,-0.7,3.98,92.1,38.6,21.6,2,1,1,374
41.78,1.73,5.12,28.8,34.5,34.9,0,1,1,375
47.97,-2.25,4.83,13.5,29.7,22.3,1,0,1,376
61.12,-1.94,3.83,76.7,24.3,14.5,0,0,1,377
40.58,2.89,8.39,84.5,25.7,22.8,0,1,1,378
60.36,-0.54,1.45,97.1,34.4,30.4,2,0,1,379
47.05,2.98,5.06,90.1,30.6,29.4,1,1,0,380
42.95,3.22,0.62,64.0,32.9,29.7,1,1,1,381
57.42,3.58,0.71,57.7,24.3,27.7,1,0,1,382
55.72,4.17,5.74,12.5,36.6,16.4,0,0,0,383
61.94,-0.69,5.66,32.2,41.3,31.6,0,1,0,384
58.38,-1.81,8.78,51.4,26.4,32.3,1,0,0,385
60.09,0.82,5.58,66.6,32.3,14.9,1,1,0,386
47.05,-1.29,9.6,60.2,44.4,13.3,2,1,0,387
44.44,1.01,0.49,76.8,28.3,34.4,1,1,0,388
58.77,2.06,0.98,35.2,34.9,31.7,0,1,0,389
60.17,1.88,0.44,60.8,22.3,32.3,0,0,1,390
64.76,-1.25,1.85,17.9,35.2,32.2,0,1,0,391
50.32,-3.33,5.41,47.2,22.2,23.5,2,1,1,392
49.3,-0.69,6.46,77.5,44.0,26.2,1,1,0,393
59.41,-3.57,0.46,72.4,37.9,23.6,0,0,0,394
48.52,3.9,9.46,99.2,39.7,11.3,2,1,1,395
63.27,-1.54,8.42,35.0,37.6,28.6,2,1,0,396
61.46,-3.46,2.97,54.8,34.7,22.6,0,0,0,397
50.72,-4.75,0.77,39.7,31.2,26.2,2,1,0,398
58.77,1.46,1.7,49.7,41.5,22.6,2,1,0,399
58.86,1.37,1.27,87.1,43.9,22.3,0,1,0,400
42.58,-1.59,1.23,71.6,32.5,14.3,2,1,0,401
62.56,-4.28,5.19,89.4,43.3,17.0,0,0,0,402
52.63,-0.9,2.46,28.3,34.6,14.0,0,0,1,403
60.66,-1.89,3.58,88.6,33.5,14.9,2,0,0,404
48.0,1.77,9.9,15.4,31.4,34.3,0,1,1,405
62.39,1.06,6.84,90.0,25.2,13.8,0,0,1,406
49.73,-1.35,9.49,39.6,20.1,16.7,1,0,1,407
40.27,-2.82,1.43,38.3,26.0,24.8,0,1,1,408
62.63,4.88,3.82,56.1,32.7,25.3,1,0,1,409
42.28,-0.46,5.55,94.7,29.5,13.8,1,0,1,410
47.98,1.88,0.77,14.3,31.2,29.8,1,0,1,411
63.75,-3.59,0.04,41.7,44.5,29.6,1,1,0,412
63.77,-0.14,6.7,87.1,28.8,15.9,2,1,0,413
54.34,-4.72,6.42,45.6,31.3,17.2,2,0,0,414
55.8,0.05,4.11,27.9,23.3,33.4,0,0,1,415
51.21,4.64,4.9,48.2,21.2,30.6,0,1,0,416
47.33,-1.16,4.15,44.7,39.4,27.4,0,1,1,417
48.22,-4.61,0.24,92.4,34.3,12.1,2,1,1,418
56.81,-4.69,3.35,78.6,39.0,20.5,1,1,0,419
58.81,-1.12,1.77,55.5,23.7,24.0,2,0,1,420
59.79,-3.4,0.98,99.0,34.3,14.7,2,1,1,421
59.74,-4.77,9.57,51.9,26.3,21.2,0,0,0,422
42.28,2.56,5.99,15.2,25.7,25.0,0,1,1,423
52.36,-0.41,7.29,33.6,20.3,18.2,0,1,0,424
41.44,-2.11,3.15,49.2,23.3,29.5,1,1,1,425
53.74,4.0,3.93,24.1,27.7,31.0,1,1,1,426
